Time,DEM,p_b1,p_b2,p_b3,tarif,DEM90,DEM55,DEM170
0,0.7,1.0,1.0,0.0,0.1814,0.7,0.7,0.7
300,0.697222,1.0,0.0,0.0,0.1814,0.697222,0.697222,0.697222
600,0.694444,1.0,0.0,0.0,0.1814,0.694444,0.694444,0.694444
900,0.691667,1.0,1.0,0.0,0.1814,0.691667,0.691667,0.691667
1200,0.688889,1.0,0.0,0.0,0.1814,0.688889,0.688889,0.688889
1500,0.686111,1.0,0.0,0.0,0.1814,0.686111,0.686111,0.686111
1800,0.683333,1.0,0.0,0.0,0.1814,0.683333,0.683333,0.683333
2100,0.680556,1.0,0.0,0.0,0.3528,0.680556,0.680556,0.680556
2400,0.677778,0.0,0.0,0.0,0.3528,0.677778,0.677778,0.677778
2700,0.675,0.0,0.0,0.0,0.3528,0.675,0.675,0.675
3000,0.672222,1.0,1.0,0.0,0.3528,0.672222,0.672222,0.672222
3300,0.669444,1.0,1.0,1.0,0.3528,0.669444,0.669444,0.669444
3600,0.666667,1.0,1.0,1.0,0.3528,0.666667,0.666667,0.666667
3900,0.663889,0.0,0.0,0.0,0.3528,0.663889,0.663889,0.663889
4200,0.661111,1.0,1.0,0.0,0.3528,0.661111,0.661111,0.661111
4500,0.658333,1.0,1.0,0.0,0.3528,0.658333,0.658333,0.658333
4800,0.655556,1.0,1.0,0.0,0.3528,0.655556,0.655556,0.655556
5100,0.652778,0.0,0.0,1.0,0.8097,0.652778,0.652778,0.652778
5400,0.65,0.0,0.0,0.0,0.8097,0.65,0.65,0.65
5700,0.647222,0.0,0.0,0.0,0.8097,0.647222,0.647222,0.647222
6000,0.644444,0.0,0.0,0.0,0.8097,0.644444,0.644444,0.644444
6300,0.641667,1.0,0.0,1.0,0.1814,0.641667,0.641667,0.641667
6600,0.638889,1.0,0.0,0.0,0.1814,0.638889,0.638889,0.638889
6900,0.636111,0.0,0.0,0.0,0.1814,0.636111,0.636111,0.636111
7200,0.633333,1.0,1.0,0.0,0.1814,0.633333,0.633333,0.633333
7500,0.630556,1.0,0.0,0.0,0.1814,0.630556,0.630556,0.630556
7800,0.627778,1.0,0.0,0.0,0.1814,0.627778,0.627778,0.627778
8100,0.625,1.0,1.0,0.0,0.1814,0.625,0.625,0.625
8400,0.622222,1.0,0.0,0.0,0.1814,0.622222,0.622222,0.622222
8700,0.619444,1.0,0.0,0.0,0.1814,0.619444,0.619444,0.619444
9000,0.616667,1.0,0.0,0.0,0.1814,0.616667,0.616667,0.616667
9300,0.613889,1.0,0.0,0.0,0.3528,0.613889,0.613889,0.613889
9600,0.611111,0.0,0.0,0.0,0.3528,0.611111,0.611111,0.611111
9900,0.608333,0.0,0.0,0.0,0.3528,0.608333,0.608333,0.608333
10200,0.605556,1.0,1.0,0.0,0.3528,0.605556,0.605556,0.605556
10500,0.602778,1.0,1.0,1.0,0.3528,0.602778,0.602778,0.602778
10800,0.6,1.0,1.0,1.0,0.3528,0.6,0.6,0.6
11100,0.616667,0.0,0.0,0.0,0.3528,0.616667,0.616667,0.616667
11400,0.633333,1.0,1.0,0.0,0.3528,0.633333,0.633333,0.633333
11700,0.65,1.0,1.0,0.0,0.3528,0.65,0.65,0.65
12000,0.666667,1.0,1.0,0.0,0.3528,0.666667,0.666667,0.666667
12300,0.683333,0.0,0.0,1.0,0.8097,0.683333,0.683333,0.683333
12600,0.7,0.0,0.0,0.0,0.8097,0.7,0.7,0.7
12900,0.716667,0.0,0.0,0.0,0.8097,0.716667,0.716667,0.716667
13200,0.733333,0.0,0.0,0.0,0.8097,0.733333,0.733333,0.733333
13500,0.75,1.0,0.0,1.0,0.1814,0.75,0.75,0.75
13800,0.766667,1.0,0.0,0.0,0.1814,0.766667,0.766667,0.766667
14100,0.783333,0.0,0.0,0.0,0.1814,0.783333,0.783333,0.783333
14400,0.8,1.0,1.0,0.0,0.1814,0.8,0.8,0.8
14700,0.816667,1.0,0.0,0.0,0.1814,0.816667,0.816667,0.816667
15000,0.833333,1.0,0.0,0.0,0.1814,0.833333,0.833333,0.833333
15300,0.85,1.0,1.0,0.0,0.1814,0.85,0.85,0.85
15600,0.866667,1.0,0.0,0.0,0.1814,0.866667,0.866667,0.866667
15900,0.883333,1.0,0.0,0.0,0.1814,0.883333,0.883333,0.883333
16200,0.9,1.0,0.0,0.0,0.1814,0.9,0.9,0.9
16500,0.916667,1.0,0.0,0.0,0.3528,0.916667,0.916667,0.916667
16800,0.933333,0.0,0.0,0.0,0.3528,0.933333,0.933333,0.933333
17100,0.95,0.0,0.0,0.0,0.3528,0.95,0.95,0.95
17400,0.966667,1.0,1.0,0.0,0.3528,0.966667,0.966667,0.966667
17700,0.983333,1.0,1.0,1.0,0.3528,0.983333,0.983333,0.983333
18000,1.0,1.0,1.0,1.0,0.3528,1.0,1.0,1.0
18300,1.016667,0.0,0.0,0.0,0.3528,1.016667,1.016667,1.016667
18600,1.033333,1.0,1.0,0.0,0.3528,1.033333,1.033333,1.033333
18900,1.05,1.0,1.0,0.0,0.3528,1.05,1.05,1.05
19200,1.066667,1.0,1.0,0.0,0.3528,1.066667,1.066667,1.066667
19500,1.083333,0.0,0.0,1.0,0.8097,1.083333,1.083333,1.083333
19800,1.1,0.0,0.0,0.0,0.8097,1.1,1.1,1.1
20100,1.116667,0.0,0.0,0.0,0.8097,1.116667,1.116667,1.116667
20400,1.133333,0.0,0.0,0.0,0.8097,1.133333,1.133333,1.133333
20700,1.15,1.0,0.0,1.0,0.1814,1.15,1.15,1.15
21000,1.166667,1.0,0.0,0.0,0.1814,1.166667,1.166667,1.166667
21300,1.183333,0.0,0.0,0.0,0.1814,1.183333,1.183333,1.183333
21600,1.2,1.0,1.0,0.0,0.1814,1.2,1.2,1.2
21900,1.202778,1.0,0.0,0.0,0.1814,1.202778,1.202778,1.202778
22200,1.205556,1.0,0.0,0.0,0.1814,1.205556,1.205556,1.205556
22500,1.208333,1.0,1.0,0.0,0.1814,1.208333,1.208333,1.208333
22800,1.211111,1.0,0.0,0.0,0.1814,1.211111,1.211111,1.211111
23100,1.213889,1.0,0.0,0.0,0.1814,1.213889,1.213889,1.213889
23400,1.216667,1.0,0.0,0.0,0.1814,1.216667,1.216667,1.216667
23700,1.219444,1.0,0.0,0.0,0.3528,1.219444,1.219444,1.219444
24000,1.222222,0.0,0.0,0.0,0.3528,1.222222,1.222222,1.222222
24300,1.225,0.0,0.0,0.0,0.3528,1.225,1.225,1.225
24600,1.227778,1.0,1.0,0.0,0.3528,1.227778,1.227778,1.227778
24900,1.230556,1.0,1.0,1.0,0.3528,1.230556,1.230556,1.230556
25200,1.233333,1.0,1.0,1.0,0.3528,1.233333,1.233333,1.233333
25500,1.236111,0.0,0.0,0.0,0.3528,1.236111,1.236111,1.236111
25800,1.238889,1.0,1.0,0.0,0.3528,1.238889,1.238889,1.238889
26100,1.241667,1.0,1.0,0.0,0.3528,1.241667,1.241667,1.241667
26400,1.244444,1.0,1.0,0.0,0.3528,1.244444,1.244444,1.244444
26700,1.247222,0.0,0.0,1.0,0.8097,1.247222,1.247222,1.247222
27000,1.25,0.0,0.0,0.0,0.8097,1.25,1.25,1.25
27300,1.252778,0.0,0.0,0.0,0.8097,1.252778,1.252778,1.252778
27600,1.255556,0.0,0.0,0.0,0.8097,1.255556,1.255556,1.255556
27900,1.258333,1.0,0.0,1.0,0.1814,1.258333,1.258333,1.258333
28200,1.261111,1.0,0.0,0.0,0.1814,1.261111,1.261111,1.261111
28500,1.263889,0.0,0.0,0.0,0.1814,1.263889,1.263889,1.263889
28800,1.266667,1.0,1.0,0.0,0.1814,1.266667,1.266667,1.266667
29100,1.269444,1.0,0.0,0.0,0.1814,1.269444,1.269444,1.269444
29400,1.272222,1.0,0.0,0.0,0.1814,1.272222,1.272222,1.272222
29700,1.275,1.0,1.0,0.0,0.1814,1.275,1.275,1.275
30000,1.277778,1.0,0.0,0.0,0.1814,1.277778,1.277778,1.277778
30300,1.280556,1.0,0.0,0.0,0.1814,1.280556,1.280556,1.280556
