#{"t_start": 1744290594.2316346, "env_id": "ATM"}
r,l,t
9.231345,48,0.719028
18.308657,48,1.341795
21.468569,48,2.224529
20.623836,48,2.848642
21.495099,48,3.778242
21.926116,48,4.399042
21.412588,48,5.317086
21.853211,48,5.949037
21.720295,48,6.868466
21.530435,48,7.493359
21.729089,48,8.472557
21.620731,48,9.119085
21.320921,48,10.041538
21.458602,48,10.653601
21.060607,48,11.563826
21.77646,48,12.191789
22.040334,48,13.17724
21.838126,48,13.823244
22.174031,48,14.745884
21.476933,48,15.366939
20.833398,48,16.336158
21.062852,48,16.967024
21.662184,48,17.874737
21.825418,48,18.494184
21.86593,48,19.147682
21.912091,48,20.091691
21.913167,48,20.709606
21.860331,48,21.627838
22.088405,48,22.247413
22.065243,48,23.181466
22.016033,48,23.823025
21.621587,48,24.740588
21.971774,48,25.399101
21.878449,48,26.323208
21.923133,48,26.949613
21.78096,48,27.869683
21.974655,48,28.498989
21.048978,48,29.45939
21.486961,48,30.104167
21.983728,48,31.024417
22.017327,48,31.645465
21.098929,48,32.603488
21.978882,48,33.22523
22.038691,48,34.168838
22.077983,48,34.804231
22.062381,48,35.739143
21.597922,48,36.366816
21.499157,48,37.302567
21.860171,48,37.914061
22.150196,48,38.531369
22.112987,48,39.508487
21.798379,48,40.211958
22.055749,48,41.19632
21.874284,48,41.825736
21.788158,48,42.789533
21.763258,48,43.675225
22.02557,48,44.615877
21.685817,48,45.249269
22.092745,48,46.169135
21.781107,48,46.791531
21.721499,48,47.705547
21.810544,48,48.318097
21.657831,48,49.289377
21.840013,48,49.911806
21.548725,48,50.868309
20.753887,48,51.50386
21.839888,48,52.432341
21.807837,48,53.073673
21.930306,48,54.008539
21.785158,48,54.674214
22.103034,48,55.613743
21.685306,48,56.257525
21.947714,48,57.205231
21.852591,48,57.829151
21.997728,48,58.45898
22.0309,48,59.424337
21.891015,48,60.057429
20.884256,48,61.003388
21.726487,48,61.692476
21.165226,48,62.614585
21.797211,48,63.242573
21.703589,48,64.188862
21.600107,48,64.827455
21.731678,48,65.802561
22.061304,48,66.424849
22.011522,48,67.364706
21.691771,48,67.99401
21.773606,48,68.912747
21.896085,48,69.54301
21.414429,48,70.462239
22.036038,48,71.085572
21.951093,48,72.036149
21.963389,48,72.67019
21.857223,48,73.586263
21.89159,48,74.20654
21.842001,48,75.13452
21.709026,48,75.751452
22.012575,48,76.678522
21.908131,48,77.309098
21.109847,48,77.920312
21.87269,48,78.840411
21.890213,48,79.464818
21.873742,48,80.372031
21.614678,48,81.005943
21.75543,48,81.938841
21.944835,48,82.613225
21.560889,48,83.540197
22.000776,48,84.17887
21.773165,48,85.123033
21.768956,48,85.756423
21.33097,48,86.693112
