Time,pressure_20,pressure_30,pressure_110,pressure_70,pressure_60,pressure_90,pressure_100,pressure_40,pressure_50,pressure_80,pressure_150,pressure_140,pressure_170,pressure_130,pressure_160,pressure_120,pressure_55,pressure_75,pressure_115,flow_b2,flow_b1,flow_b3,flow_78,flow_80,flow_178,pump_efficiency_b2,pump_efficiency_b1,pump_efficiency_b3,pump_energyconsumption_b2,pump_energyconsumption_b1,pump_energyconsumption_b3,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,63.940032958984375,52.647926330566406,52.10859298706055,52.272605895996094,51.70197296142578,51.569419860839844,51.752685546875,51.68765640258789,51.7297477722168,51.62257766723633,30.351932525634766,42.54018020629883,30.193265914916992,30.279512405395508,30.34841537475586,30.3748779296875,42.475067138671875,42.47174072265625,42.47087860107422,0.0,0.761347234249115,0.7613522410392761,-0.2295883148908615,0.12175753712654114,-0.1224345788359642,0.0,0.6439312100410461,0.6439300775527954,0.0,0.6240373253822327,0.6240425109863281,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,58.62959671020508,50.361534118652344,51.19342041015625,50.836326599121094,51.96672058105469,51.13872528076172,51.136566162109375,51.0112419128418,51.249969482421875,51.358802795410156,29.96559715270996,42.34221267700195,30.14606285095215,30.098859786987305,30.14628028869629,29.888830184936523,42.183101654052734,42.314876556396484,42.33428192138672,0.0,0.0,-0.9232426285743713,1.0294755697250366,0.49632832407951355,-0.45353585481643677,0.0,0.0,0.5597114562988281,0.0,0.0,0.8015841245651245,67.33248138427734,66.78172302246094,66.77839660644531,0.13052618503570557,0.9914448857307434
3600,67.31587219238281,53.9654655456543,52.86611557006836,53.164222717285156,51.977638244628906,51.70769500732422,51.95033645629883,52.17385482788086,52.17559814453125,51.70572280883789,30.36949348449707,42.31585693359375,30.03035545349121,30.146509170532227,30.164669036865234,30.501815795898438,42.53294372558594,42.31914138793945,42.29623031616211,1.1030877828598022,0.0,1.0433273315429688,-0.3662715256214142,-0.12457633018493652,0.24167969822883606,0.5778186321258545,0.0,0.5895679593086243,1.0583717823028564,0.0,0.9810845255851746,67.189208984375,66.73485565185547,66.67935943603516,0.258819043636322,0.9659258127212524
5400,60.87053680419922,51.88164520263672,51.60708999633789,51.726043701171875,52.519927978515625,51.62858200073242,51.665252685546875,51.637779235839844,51.679603576660156,51.755558013916016,30.346906661987305,42.573753356933594,30.23946189880371,30.253738403320312,30.308944702148438,30.253694534301758,42.51787567138672,42.52285385131836,42.524112701416016,0.0,0.0,0.0,0.602008581161499,0.062463048845529556,-0.2439383864402771,0.0,0.0,0.0,0.0,0.0,0.0,67.831298828125,66.88656616210938,66.9786148071289,0.3826834261417389,0.9238795042037964
7200,60.433284759521484,51.319915771484375,51.28157424926758,51.29969787597656,51.51266098022461,51.23906707763672,51.30322265625,51.17466354370117,51.23776626586914,51.33441162109375,30.00223159790039,42.28132247924805,29.988908767700195,30.017820358276367,30.14471435546875,29.96466636657715,42.10017395019531,42.17056655883789,42.18651580810547,0.0,0.0,0.0,0.32881855964660645,0.5454585552215576,-0.1746685951948166,0.0,0.0,0.0,0.0,0.0,0.0,66.77594757080078,66.81050109863281,66.67656707763672,0.5,0.8660253882408142
9000,67.95620727539062,54.43718719482422,53.55915069580078,53.668113708496094,52.011966705322266,52.186058044433594,52.36492919921875,52.923011779785156,52.88488006591797,52.00267028808594,30.66619873046875,42.37675857543945,30.188114166259766,30.289806365966797,30.271141052246094,30.949295043945312,43.019439697265625,42.49089813232422,42.40284729003906,1.0838536024093628,0.0,1.0381206274032593,-0.5835001468658447,-0.3800230622291565,0.48473531007766724,0.5827178359031677,0.0,0.5917268395423889,1.0405583381652832,0.0,0.981478214263916,67.18460845947266,66.80116271972656,66.68634796142578,0.6087614297866821,0.7933533191680908
10800,61.245208740234375,52.255638122558594,51.984474182128906,52.09986114501953,52.89625930786133,51.999698638916016,52.03083419799805,52.00231170654297,52.0352783203125,52.11536407470703,30.700830459594727,42.89616012573242,30.607667922973633,30.62982749938965,30.682798385620117,30.630203247070312,42.86034393310547,42.86048126220703,42.86051559448242,0.0,0.0,0.0,0.6014967560768127,0.11672555655241013,-0.12885968387126923,0.0,0.0,0.0,0.0,0.0,0.0,68.20751190185547,67.26396179199219,67.28656005859375,0.7071067690849304,0.7071067690849304
12600,60.83765411376953,51.72252655029297,51.683074951171875,51.70380401611328,51.89268493652344,51.652462005615234,51.70726013183594,51.601959228515625,51.660316467285156,51.7424201965332,30.409751892089844,42.71001434326172,30.390310287475586,30.404138565063477,30.50292205810547,30.3597469329834,42.526790618896484,42.602420806884766,42.61940383911133,0.0,0.0,0.0,0.3059607744216919,0.3660421669483185,-0.31242093443870544,0.0,0.0,0.0,0.0,0.0,0.0,67.15306091308594,67.12181091308594,67.12699890136719,0.7933533191680908,0.6087614297866821
14400,61.95072555541992,51.574790954589844,51.06871795654297,51.33207702636719,51.36457061767578,50.501766204833984,51.04065704345703,50.252471923828125,50.59671401977539,50.869293212890625,29.71343421936035,42.21367263793945,29.359167098999023,29.552581787109375,29.944787979125977,29.563819885253906,41.45003890991211,41.66905975341797,41.720497131347656,0.7680896520614624,0.0,0.4997996985912323,0.23114162683486938,0.7331380248069763,-0.6883891820907593,0.6392178535461426,0.0,0.5514666438102722,0.6153721809387207,0.0,0.46414273977279663,66.61669921875,66.6760482788086,66.74015045166016,0.8660253882408142,0.5
16200,68.51766204833984,54.40052795410156,53.664306640625,53.60506820678711,51.41030502319336,51.9910774230957,52.18480682373047,52.93561553955078,52.87180709838867,51.646324157714844,30.39462661743164,42.20058822631836,30.01538848876953,30.088306427001953,30.032615661621094,30.890933990478516,42.96632766723633,42.357723236083984,42.251304626464844,1.1240535974502563,0.0,1.1156436204910278,-0.7981037497520447,-0.5077276229858398,0.4100702702999115,0.5759519934654236,0.0,0.5775653719902039,1.1004630327224731,0.0,1.0891785621643066,66.52999877929688,66.52999877929688,66.52999877929688,0.9238795042037964,0.3826834261417389
