#{"t_start": 1744205984.864966, "env_id": "ATM"}
r,l,t
14.330277,48,0.714868
21.185095,48,1.34487
21.451528,48,2.256552
21.240067,48,2.880246
19.490063,48,3.819432
21.703505,48,4.472962
21.061286,48,5.401846
21.50998,48,6.023792
20.77842,48,6.954409
20.641241,48,7.570417
21.120867,48,8.504021
19.857525,48,9.139435
21.430462,48,10.126276
19.309281,48,10.793554
21.60498,48,11.72887
21.249553,48,12.362328
21.51232,48,13.313236
21.796643,48,13.980443
21.833052,48,14.953726
21.647479,48,15.647485
21.161651,48,16.659109
21.798271,48,17.340964
19.844312,48,18.337382
21.825882,48,18.998082
21.87713,48,19.625045
21.924683,48,20.577793
22.040811,48,21.223598
21.718132,48,22.171291
21.901715,48,22.783477
21.890885,48,23.727326
20.166082,48,24.349272
19.860044,48,25.3368
21.87611,48,26.035571
21.155916,48,27.007387
21.931993,48,27.7235
21.115807,48,28.737334
21.915152,48,29.372122
21.8726,48,30.86533
21.730545,48,31.538715
21.524939,48,32.515772
21.85125,48,33.159208
21.607187,48,34.185693
21.427933,48,34.867738
21.579127,48,35.863828
21.834274,48,36.497583
21.818287,48,37.437516
21.776314,48,38.100757
21.806306,48,39.068908
21.459649,48,39.702974
20.395436,48,40.340295
21.656531,48,41.311743
20.294466,48,41.947599
21.373385,48,42.933884
21.695843,48,43.628608
21.274202,48,44.592435
21.593561,48,45.509083
21.567791,48,46.480552
21.385109,48,47.084495
21.71475,48,47.978588
20.659227,48,48.59431
21.513219,48,49.507871
21.641924,48,50.130508
21.649321,48,51.102522
21.766855,48,51.72422
21.616061,48,52.686737
21.865743,48,53.308911
21.808743,48,54.28525
21.60254,48,54.90407
21.701453,48,55.871841
21.689675,48,56.527344
21.610107,48,57.47004
21.773219,48,58.092233
21.655884,48,59.068751
21.501372,48,59.699108
21.626381,48,60.741458
21.639078,48,61.698139
21.33217,48,62.33108
21.592249,48,63.306171
21.606817,48,63.932436
21.442581,48,64.865634
21.903502,48,65.47845
21.654183,48,66.452188
21.829088,48,67.081986
21.520177,48,68.059289
21.675514,48,68.699454
21.794256,48,69.639046
21.689076,48,70.291741
21.531195,48,71.220517
21.055818,48,71.88159
21.370536,48,72.818619
21.893157,48,73.473689
20.733753,48,74.450372
21.738973,48,75.068901
21.886365,48,76.446961
21.513396,48,77.081983
21.653174,48,78.004946
21.555353,48,78.618656
21.853642,48,79.565426
21.582972,48,80.171763
21.56477,48,80.785237
21.923881,48,81.729295
21.684758,48,82.353953
21.612042,48,83.271834
21.293101,48,83.896121
21.185513,48,84.878879
21.795006,48,85.494938
21.667184,48,86.425657
21.233865,48,87.059438
20.625874,48,87.975555
21.762925,48,88.598556
21.487844,48,89.519182
21.925891,48,90.141665
20.854478,48,91.476949
21.93889,48,92.108977
21.328673,48,93.026367
21.944315,48,93.642537
21.323266,48,94.606993
22.087028,48,95.248986
21.664755,48,96.168546
21.427405,48,96.784076
21.701119,48,97.742476
21.613877,48,98.370249
21.862064,48,99.305001
21.873179,48,99.916251
21.924093,48,100.545096
21.902557,48,101.485608
21.986944,48,102.084414
21.601547,48,103.030502
21.268227,48,103.637739
21.909517,48,104.560905
21.732087,48,105.554625
21.354826,48,106.581217
21.859532,48,107.222279
21.793582,48,108.170177
21.967643,48,108.779748
21.748435,48,109.693689
21.738495,48,110.309081
21.769806,48,111.22752
21.262294,48,111.864418
21.84675,48,112.831665
21.990323,48,113.459839
21.446832,48,114.394224
21.907146,48,114.993418
21.576317,48,115.930823
21.362064,48,116.586087
21.569495,48,117.538621
21.769947,48,118.182492
21.786206,48,119.126867
21.827651,48,119.741601
22.029478,48,120.755383
21.303867,48,121.697287
21.764495,48,122.31758
21.794773,48,123.263638
21.794229,48,123.88544
20.728192,48,124.843975
21.069999,48,125.456077
21.839072,48,126.381709
21.992156,48,127.039764
21.665192,48,127.965311
21.746444,48,128.622912
21.7648,48,129.535859
21.975336,48,130.151379
21.571908,48,131.082574
20.799511,48,131.707289
21.968865,48,132.647083
21.3284,48,133.30224
22.142074,48,134.264857
21.826951,48,134.901977
21.757353,48,136.235651
21.841655,48,136.881154
21.665352,48,137.886571
21.447529,48,138.527586
21.885016,48,139.450493
21.380798,48,140.072184
21.733662,48,140.682852
21.450381,48,141.639833
21.683395,48,142.258297
21.81435,48,143.204239
21.86704,48,143.846891
22.012812,48,144.75175
21.819672,48,145.363003
21.850043,48,146.329094
22.033821,48,146.972942
21.638667,48,147.937138
21.599323,48,148.567988
21.487569,48,149.525391
21.786074,48,150.154314
21.575394,48,151.52006
22.035665,48,152.161727
21.808905,48,153.093021
21.149191,48,153.719637
21.453129,48,154.664526
21.69582,48,155.289471
21.761616,48,156.208068
21.221875,48,156.84352
21.771365,48,157.776947
21.944185,48,158.458309
21.270751,48,159.412175
21.778339,48,160.028458
21.852044,48,160.661172
21.906174,48,161.613192
20.680057,48,162.219795
21.792065,48,163.180851
20.872944,48,163.792101
21.974762,48,164.716945
21.379952,48,165.719015
20.853438,48,166.695303
21.82554,48,167.329492
21.531568,48,168.268181
21.607897,48,168.91828
21.952661,48,169.883591
21.665579,48,170.513623
21.7102,48,171.448354
21.330179,48,172.080739
21.579889,48,173.001135
22.010469,48,173.621532
21.914868,48,174.573055
21.534589,48,175.204189
22.008362,48,176.145371
21.574974,48,176.771131
21.847574,48,177.699821
21.634743,48,178.315607
22.027208,48,179.258241
21.743865,48,179.955085
21.93755,48,180.973071
20.772566,48,181.915465
21.650463,48,182.529654
21.927342,48,183.453187
21.387617,48,184.070538
21.650583,48,185.038358
21.599828,48,185.667022
21.990202,48,186.606266
21.70096,48,187.234651
21.92338,48,188.160686
21.931592,48,188.775898
21.860643,48,189.711787
21.946788,48,190.389163
21.99065,48,191.323425
21.540936,48,191.951429
21.792833,48,192.878481
21.351419,48,193.511103
21.499161,48,194.444413
21.795654,48,195.086912
21.916195,48,196.420964
21.841382,48,197.041191
21.721065,48,197.98441
21.608033,48,198.610685
21.848001,48,199.537512
21.715056,48,200.211165
22.05394,48,200.864122
21.404231,48,201.854049
21.577875,48,202.477368
21.967443,48,203.406767
21.917908,48,204.043624
21.52314,48,204.963984
21.917026,48,205.604986
21.543021,48,206.52588
21.841275,48,207.152166
21.880498,48,208.088351
21.250986,48,208.711822
