time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b2_mean,eval/ep_b1_mean
4,0.009999999776482582,48.0,636,0.003,384,35,0.04459388554096222,0,12.688452375,-0.39425337314605713,,,,,,,,,,
8,,48.0,629,,384,,,0,12.688452375,,,,,,,,,,,
12,0.009999999776482582,48.0,619,0.003,768,83,0.02064254879951477,1,16.3336830625,-0.5194090008735657,,,,,,,,,,
16,,48.0,616,,768,,,1,16.3336830625,,,,,,,,,,,
20,0.009999999776482582,48.0,539,0.003,1152,131,0.019205881282687187,2,17.916384625,-0.6950289011001587,0.4755881094531171,0.018042594492345472,0.0,0.8542339038745131,1.0,0.06915101318286958,0.04148088390113705,0.11719598435100619,0.07123090642950172,0.9728947259597103
24,,48.0,535,,1152,,,2,17.916384625,,,,,,,,,,,
28,0.009999999776482582,48.0,556,0.003,1536,179,0.018129996955394745,2,18.5685951875,-0.6845722198486328,,,,,,,,,,
32,,48.0,555,,1536,,,2,18.5685951875,,,,,,,,,,,
36,0.009999999776482582,48.0,513,0.003,1920,227,0.020688410848379135,3,18.977315425,-0.7803412079811096,0.5058449354640872,0.25088961221412975,0.0,0.899769420856689,1.0,0.1660705270120246,0.05972556421891244,0.09531826099954492,0.9083466126591982,0.4806318875133462
40,,48.0,512,,1920,,,3,18.977315425,,,,,,,,,,,
44,0.009999999776482582,48.0,527,0.003,2304,275,0.025280194357037544,4,18.9018088125,-0.8704891204833984,,,,,,,,,,
48,,48.0,526,,2304,,,4,18.9018088125,,,,,,,,,,,
52,0.009999999776482582,48.0,505,0.003,2688,323,0.021345634013414383,5,19.19324614285714,-1.030237078666687,0.6141096103187846,0.09429077419226248,0.0,0.576261191673998,1.0,0.12161201193126546,0.11138507013303975,0.06510238628305269,0.9168663387993568,0.8392266706199749
56,,48.0,504,,2688,,,5,19.19324614285714,,,,,,,,,,,
