#{"t_start": 1744375601.5943916, "env_id": "ATM"}
r,l,t
12.943358,48,0.814345
21.16015,48,1.433258
20.609206,48,2.322475
20.922259,48,2.943835
20.800777,48,4.987794
20.535923,48,5.597974
20.469418,48,6.48881
21.274766,48,7.102324
20.67958,48,8.023346
21.621718,48,8.649284
21.011433,48,9.568321
21.401843,48,10.194124
21.876657,48,11.094326
21.361067,48,11.729927
21.768614,48,12.653525
21.80102,48,13.286994
21.147593,48,14.206025
21.852776,48,14.861177
21.803378,48,15.77311
21.461925,48,16.405826
21.173125,48,17.374092
21.728947,48,18.008479
21.852825,48,18.985224
21.745152,48,20.00758
21.63071,48,20.624848
21.42915,48,21.564663
21.657769,48,22.168998
21.051387,48,23.068328
21.171985,48,23.737692
21.109206,48,24.644724
20.649981,48,25.270262
21.538925,48,26.157835
21.32135,48,26.763398
21.01751,48,27.64385
20.801583,48,28.229184
21.256728,48,29.167073
21.208504,48,29.794239
21.126233,48,30.679535
20.456227,48,31.291168
21.525896,48,32.167892
21.352246,48,32.763996
21.761752,48,33.655325
21.438271,48,34.440262
21.557566,48,35.384137
21.653624,48,35.997873
20.665762,48,37.983552
21.782117,48,38.632021
21.363157,48,39.556531
21.452978,48,40.237797
20.922466,48,40.910542
21.286906,48,41.833945
21.389314,48,42.452315
20.739652,48,43.391753
20.639189,48,44.05502
21.325825,48,45.028637
21.690066,48,45.707197
20.868677,48,46.673188
20.702662,48,47.283776
21.708618,48,48.272098
21.491049,48,48.961653
20.915269,48,49.963232
21.753076,48,50.614782
21.842219,48,51.636593
20.89713,48,52.404564
19.874115,48,53.704781
20.690187,48,54.420158
21.283628,48,55.411319
21.22606,48,56.084863
20.790322,48,57.102535
20.90772,48,57.750875
20.324762,48,58.689891
21.361032,48,59.318205
21.926775,48,60.287835
20.76541,48,60.923467
20.185538,48,61.63114
21.126223,48,62.63425
19.571684,48,63.30652
20.460285,48,64.313852
21.748893,48,65.100514
20.148873,48,66.06954
