train/n_updates,train/ent_coef,train/actor_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,eval/ep_b1_std,eval/ep_nodes_above_threshold,eval/ep_pressure_obj_mean,eval/ep_nodes_below_threshold,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b1_mean,eval/ep_timesteps_below_zero,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_nodes_below_zero
35,0.009999999776482582,-0.44671115279197693,4,48.0,384,14.24427825,0.03642219305038452,671,0,0.003,,,,,,,,,,,,,,
,,,8,48.0,384,14.24427825,,662,0,,,,,,,,,,,,,,,
83,0.009999999776482582,-0.5785989761352539,12,48.0,768,17.0351021875,0.032111939042806625,637,1,0.003,,,,,,,,,,,,,,
,,,16,48.0,768,17.0351021875,,633,1,,,,,,,,,,,,,,,
131,0.009999999776482582,-0.71288001537323,20,48.0,1152,18.1070945,0.020996395498514175,544,2,0.003,0.23856615138293055,0.0,0.9780701754385964,0.021482277121374866,0.14437584353614746,0.09599631084650301,0.4877535455748038,0.17091234386194873,0.21187658357473024,0.8433670154294877,1,0.2841962212961951,0.7987844656306061,0.01933404940923738
,,,24,48.0,1152,18.1070945,,539,2,,,,,,,,,,,,,,,
179,0.009999999776482582,-0.7224524021148682,28,48.0,1536,18.74308603125,0.024214159697294235,549,2,0.003,,,,,,,,,,,,,,
,,,32,48.0,1536,18.74308603125,,548,2,,,,,,,,,,,,,,,
227,0.009999999776482582,-0.8001106381416321,36,48.0,1920,19.12429035,0.022879354655742645,513,3,0.003,0.2233211658455421,0.0,0.9736842105263158,0.02577873254564984,0.10184830459934668,0.452226972423611,0.4800624759504149,0.13583624070039474,0.1066803924956339,0.7995764870688093,0,0.22806206797231648,0.8829638469573594,0.0
,,,40,48.0,1920,19.12429035,,511,3,,,,,,,,,,,,,,,
275,0.009999999776482582,-0.9872112274169922,44,48.0,2304,19.486241,0.012392787262797356,528,4,0.003,,,,,,,,,,,,,,
,,,48,48.0,2304,19.486241,,528,4,,,,,,,,,,,,,,,
323,0.009999999776482582,-1.0286004543304443,52,48.0,2688,19.722186267857143,0.015696140006184578,511,5,0.003,0.10140278913756426,0.0,1.0,0.0,0.0,0.6647528607887532,0.5891363150324965,0.0610689346603812,0.08143889084534651,0.8512348619914255,0,0.17797069814385627,0.9132639216514674,0.0
,,,56,48.0,2688,19.722186267857143,,509,5,,,,,,,,,,,,,,,
371,0.009999999776482582,-1.1307653188705444,60,48.0,3072,19.91105375,0.025099191814661026,522,5,0.003,,,,,,,,,,,,,,
,,,64,48.0,3072,19.91105375,,522,5,,,,,,,,,,,,,,,
419,0.009999999776482582,-1.2553409337997437,68,48.0,3456,20.09832541666667,0.01804949901998043,506,6,0.003,0.1195725548078538,0.0,1.0,0.0,0.0,0.4576230532921957,0.5668748334632164,0.11667421694258073,0.07117292281568156,0.8175463678540703,0,0.14921151669959404,0.9407831136658891,0.0
,,,72,48.0,3456,20.09832541666667,,505,6,,,,,,,,,,,,,,,
467,0.009999999776482582,-1.32150399684906,76,48.0,3840,20.2563709125,0.022980935871601105,516,7,0.003,,,,,,,,,,,,,,
,,,80,48.0,3840,20.2563709125,,516,7,,,,,,,,,,,,,,,
515,0.009999999776482582,-1.4044257402420044,84,48.0,4224,20.36981775,0.020751141011714935,504,8,0.003,0.08723854211868,0.0,1.0,0.0,0.0,0.5100890304014041,0.5821897355671947,0.085628914697622,0.07024239577061672,0.8126967137828852,0,0.11977044630306216,0.9458491958515176,0.0
,,,88,48.0,4224,20.36981775,,503,8,,,,,,,,,,,,,,,
563,0.009999999776482582,-1.4584789276123047,92,48.0,4608,20.457352552083336,0.02826511673629284,511,9,0.003,,,,,,,,,,,,,,
,,,96,48.0,4608,20.457352552083336,,511,9,,,,,,,,,,,,,,,
611,0.009999999776482582,-1.5184111595153809,100,48.0,4992,20.78699887,0.026264065876603127,503,9,0.003,0.036780696564573036,0.0,1.0,0.0,0.0,0.6925117255126594,0.5924756222807844,0.04756438820567974,0.06532972887097033,0.885902469464293,0,0.12344019454105806,0.9096302071993856,0.0
,,,104,48.0,4992,20.78699887,,503,9,,,,,,,,,,,,,,,
659,0.009999999776482582,-1.664326786994934,108,48.0,5376,21.10694626,0.03394920006394386,510,10,0.003,,,,,,,,,,,,,,
,,,112,48.0,5376,21.10694626,,510,10,,,,,,,,,,,,,,,
707,0.009999999776482582,-1.7365988492965698,116,48.0,5760,21.202855809999996,0.04846368730068207,503,11,0.003,0.08168290450850968,0.0,1.0,0.0,0.0,0.5778302906380275,0.5644785756912108,0.07961601701652621,0.08103958228490017,0.8463506968309156,0,0.16367092913467027,0.9348819959518052,0.0
,,,120,48.0,5760,21.202855809999996,,502,11,,,,,,,,,,,,,,,
755,0.009999999776482582,-1.8168423175811768,124,48.0,6144,21.27726912,0.05057166516780853,504,12,0.003,,,,,,,,,,,,,,
,,,128,48.0,6144,21.27726912,,504,12,,,,,,,,,,,,,,,
803,0.009999999776482582,-1.9125893115997314,132,48.0,6528,21.35055558,0.05837744474411011,488,13,0.003,0.0384264675305748,0.0,1.0,0.0,0.0,0.6888578878026487,0.6036044110829552,0.047844255644482234,0.06727583807591349,0.8735544647144499,0,0.13477263765445507,0.9098899435621542,0.0
,,,136,48.0,6528,21.35055558,,488,13,,,,,,,,,,,,,,,
851,0.009999999776482582,-2.0066487789154053,140,48.0,6912,21.37586732,0.06472385674715042,494,13,0.003,,,,,,,,,,,,,,
,,,144,48.0,6912,21.37586732,,494,13,,,,,,,,,,,,,,,
899,0.009999999776482582,-2.01926851272583,148,48.0,7296,21.388492359999997,0.09632845222949982,490,14,0.003,0.025744859635473117,0.0,1.0,0.0,0.0,0.6458430062404351,0.5886930121103257,0.05945311518733047,0.06738781116345628,0.896296348099388,0,0.10908820167490822,0.9011320190151535,0.0
,,,152,48.0,7296,21.388492359999997,,490,14,,,,,,,,,,,,,,,
947,0.009999999776482582,-2.147202730178833,156,48.0,7680,21.38985538,0.07196400314569473,496,15,0.003,,,,,,,,,,,,,,
,,,160,48.0,7680,21.38985538,,496,15,,,,,,,,,,,,,,,
995,0.009999999776482582,-2.291396141052246,164,48.0,8064,21.403216630000003,0.07257553935050964,491,16,0.003,0.06211620951081259,0.0,1.0,0.0,0.0,0.6348774995992029,0.5859942332727991,0.05652365376990887,0.11429417750389016,0.9040485099525555,0,0.23603342143435108,0.8702216633109822,0.0
,,,168,48.0,8064,21.403216630000003,,490,16,,,,,,,,,,,,,,,
1043,0.009999999776482582,-2.2576515674591064,172,48.0,8448,21.38469116,0.10060767829418182,495,17,0.003,,,,,,,,,,,,,,
,,,176,48.0,8448,21.38469116,,495,17,,,,,,,,,,,,,,,
1091,0.009999999776482582,-2.365069627761841,180,48.0,8832,21.379037479999997,0.0551888570189476,491,17,0.003,0.023285685278156228,0.0,1.0,0.0,0.0,0.7806477355366718,0.606474325649553,0.049954097673643505,0.07539188566474772,0.9142034591115938,0,0.1523903478467344,0.8786436281023384,0.0
,,,184,48.0,8832,21.379037479999997,,491,17,,,,,,,,,,,,,,,
1139,0.009999999776482582,-2.51373028755188,188,48.0,9216,21.344505180000002,0.08899912983179092,495,18,0.003,,,,,,,,,,,,,,
,,,192,48.0,9216,21.344505180000002,,495,18,,,,,,,,,,,,,,,
1187,0.009999999776482582,-2.6510519981384277,196,48.0,9600,21.342116469999997,0.04567977786064148,492,19,0.003,0.034738455568927226,0.0,1.0,0.0,0.0,0.6915859315729521,0.5838039281988755,0.04597698746616545,0.06815592999014926,0.8829348284026268,0,0.13521278432032205,0.9277246191174807,0.0
,,,200,48.0,9600,21.342116469999997,,491,19,,,,,,,,,,,,,,,
1235,0.009999999776482582,-2.617694616317749,204,48.0,9984,21.351629749999997,0.17761513590812683,496,20,0.003,,,,,,,,,,,,,,
,,,208,48.0,9984,21.351629749999997,,496,20,,,,,,,,,,,,,,,
1283,0.009999999776482582,-2.7382688522338867,212,48.0,10368,21.3714994,0.10583573579788208,500,20,0.003,,,,,,,,,,,,,,
,,,216,48.0,10368,21.3714994,,500,20,,,,,,,,,,,,,,,
1331,0.009999999776482582,-2.770137310028076,220,48.0,10752,21.347404750000006,0.17928215861320496,497,21,0.003,0.10943458885898312,0.0010741138560687433,0.9989035087719298,0.0,0.007596714068284557,0.8969048447407889,0.580893387389573,0.026304847279489726,0.20933620725293015,0.827384554818767,0,0.18129820709006184,0.7583945981691486,0.0
,,,224,48.0,10752,21.347404750000006,,497,21,,,,,,,,,,,,,,,
1379,0.009999999776482582,-2.8966665267944336,228,48.0,11136,21.317064579999997,0.1367720365524292,501,22,0.003,,,,,,,,,,,,,,
,,,232,48.0,11136,21.317064579999997,,501,22,,,,,,,,,,,,,,,
1427,0.009999999776482582,-3.0176525115966797,236,48.0,11520,21.2617794,0.16141238808631897,482,23,0.003,0.026912586923944475,0.0021482277121374865,0.9978070175438596,0.0,0.010628470343339951,0.8258361138512544,0.5757211260606351,0.02931455846884202,0.07277915560387847,0.9120747741043038,0,0.15620694220934062,0.9063972184233927,0.0
,,,240,48.0,11520,21.2617794,,481,23,,,,,,,,,,,,,,,
1475,0.009999999776482582,-3.087763786315918,244,48.0,11904,21.26061488,0.07985880225896835,485,24,0.003,,,,,,,,,,,,,,
,,,248,48.0,11904,21.26061488,,485,24,,,,,,,,,,,,,,,
1523,0.009999999776482582,-3.1066205501556396,252,48.0,12288,21.259227,0.1143336296081543,483,25,0.003,0.021063641844493705,0.0,1.0,0.0,0.0,0.8562016916171279,0.5794539239875016,0.026683290064544177,0.05923832629333329,0.9006592694249159,0,0.16480763174186916,0.8652406770953518,0.0
,,,256,48.0,12288,21.259227,,482,25,,,,,,,,,,,,,,,
1571,0.009999999776482582,-3.226757287979126,260,48.0,12672,21.255295769999996,0.15371492505073547,486,26,0.003,,,,,,,,,,,,,,
,,,264,48.0,12672,21.255295769999996,,486,26,,,,,,,,,,,,,,,
1619,0.009999999776482582,-3.2444238662719727,268,48.0,13056,21.26461586,0.1670827865600586,484,26,0.003,0.049263411264316756,0.0010741138560687433,0.9989035087719298,0.0,0.007596714068284557,0.8576974701777663,0.5577495157052389,0.035803075388836134,0.13302603485563824,0.929511801529486,0,0.19918637407847062,0.8082634908193636,0.0
,,,272,48.0,13056,21.26461586,,484,26,,,,,,,,,,,,,,,
1667,0.009999999776482582,-3.2060017585754395,276,48.0,13440,21.21522805,0.22880923748016357,486,27,0.003,,,,,,,,,,,,,,
,,,280,48.0,13440,21.21522805,,486,27,,,,,,,,,,,,,,,
1715,0.009999999776482582,-3.397597312927246,284,48.0,13824,21.20555897,0.08256688714027405,478,28,0.003,0.03674091264798483,0.0,0.9967105263157894,0.00322234156820623,0.016841580338964206,0.8312301079490614,0.6297283908913633,0.030586881880728816,0.08886797487937702,0.873046226856242,0,0.1939838268244868,0.8882243570614026,0.0
,,,288,48.0,13824,21.20555897,,478,28,,,,,,,,,,,,,,,
1763,0.009999999776482582,-3.6298606395721436,292,48.0,14208,21.217479819999998,0.2514764368534088,481,29,0.003,,,,,,,,,,,,,,
,,,296,48.0,14208,21.217479819999998,,481,29,,,,,,,,,,,,,,,
1811,0.009999999776482582,-3.506052255630493,300,48.0,14592,21.188526359999997,0.23879876732826233,479,30,0.003,0.04214831834522493,0.0,1.0,0.0,0.0,0.6863660426425341,0.6168809939272623,0.06278492823242648,0.08555928673503044,0.8997454402053313,0,0.19120896358174513,0.8736132174719761,0.0
,,,304,48.0,14592,21.188526359999997,,479,30,,,,,,,,,,,,,,,
1859,0.009999999776482582,-3.6372649669647217,308,48.0,14976,21.16945586,0.2653343975543976,482,31,0.003,,,,,,,,,,,,,,
,,,312,48.0,14976,21.16945586,,482,31,,,,,,,,,,,,,,,
1907,0.009999999776482582,-3.557709217071533,316,48.0,15360,21.16727962,0.3272009491920471,480,31,0.003,0.04646306187711339,0.0,1.0,0.0,0.0,0.6788705651510385,0.5986837516006037,0.06441964778217317,0.10796182704953367,0.9128495602846832,0,0.2117288081223489,0.858277728179442,0.0
,,,320,48.0,15360,21.16727962,,480,31,,,,,,,,,,,,,,,
1955,0.009999999776482582,-3.8082170486450195,324,48.0,15744,21.147002819999994,0.1019645631313324,483,32,0.003,,,,,,,,,,,,,,
,,,328,48.0,15744,21.147002819999994,,483,32,,,,,,,,,,,,,,,
2003,0.009999999776482582,-3.952669620513916,332,48.0,16128,21.183572919999996,0.3242114782333374,481,33,0.003,0.025090200964897922,0.0,0.9956140350877193,0.004296455424274973,0.030386856273138196,0.7083495165273501,0.6239249210061958,0.05234865306304191,0.16159044015260307,0.9108477966781252,0,0.15183671224753392,0.8148733977750047,0.0
,,,336,48.0,16128,21.183572919999996,,481,33,,,,,,,,,,,,,,,
2051,0.009999999776482582,-3.944126844406128,340,48.0,16512,21.161521049999998,0.2812786102294922,483,34,0.003,,,,,,,,,,,,,,
,,,344,48.0,16512,21.161521049999998,,483,34,,,,,,,,,,,,,,,
2099,0.009999999776482582,-4.139960289001465,348,48.0,16896,21.193870739999998,0.1384524405002594,482,35,0.003,0.016192789246473827,0.0,1.0,0.0,0.0,0.634974304840846,0.6103534921221049,0.05876724834927745,0.10856183402057121,0.9218282056969727,0,0.14538202216138246,0.8383327830192185,0.0
,,,352,48.0,16896,21.193870739999998,,481,35,,,,,,,,,,,,,,,
