#{"t_start": 1744204825.034515, "env_id": "ATM"}
r,l,t
12.224101,48,0.747354
15.931938,48,1.364864
20.573628,48,2.271422
21.439689,48,2.910097
21.715746,48,3.844109
20.146932,48,4.492519
20.489694,48,5.448677
19.666555,48,6.08289
20.919469,48,7.023388
20.607162,48,7.664812
22.059163,48,8.608017
20.84913,48,9.264532
21.781977,48,10.20429
20.645848,48,10.894231
22.023163,48,11.840068
21.600665,48,12.49056
22.039352,48,13.918386
21.864829,48,14.591957
20.735159,48,15.518559
21.158878,48,16.158193
21.724632,48,17.128398
21.951846,48,17.759973
22.143986,48,18.689976
21.309712,48,19.338087
21.444999,48,19.964652
21.13222,48,20.910079
21.943621,48,21.605795
21.919843,48,22.591688
22.022496,48,23.264909
22.07724,48,24.266771
21.660842,48,24.926144
22.069061,48,25.887209
21.752376,48,26.548052
21.530193,48,27.489248
21.280497,48,28.134522
21.194801,48,29.480426
21.919577,48,30.126625
19.970657,48,31.073712
21.809735,48,31.745393
21.598277,48,32.83268
21.816824,48,33.565112
21.469172,48,34.603417
21.546164,48,35.322899
21.618659,48,36.334684
21.944129,48,36.999438
21.985093,48,37.948292
21.163464,48,38.583444
21.020813,48,39.541714
21.810491,48,40.168942
22.101005,48,40.780186
21.676672,48,41.738776
20.110483,48,42.392452
21.862412,48,43.370186
22.032973,48,44.430877
20.390766,48,45.374497
22.165712,48,46.033152
22.017016,48,46.955449
21.186862,48,47.590622
21.463878,48,48.522927
22.097101,48,49.164304
21.802015,48,50.114378
22.016451,48,50.738286
22.112938,48,51.714126
21.979881,48,52.344791
21.940571,48,53.282237
21.875979,48,53.937304
20.016871,48,54.870415
21.850342,48,55.497732
21.916023,48,56.462354
21.610067,48,57.085634
21.243599,48,58.04638
20.321643,48,59.102798
21.949032,48,60.058328
21.76811,48,60.700494
21.411812,48,61.354117
20.995902,48,62.301898
21.745697,48,62.927609
22.051267,48,63.899738
19.956903,48,64.525275
20.535485,48,65.497286
21.250678,48,66.137385
21.036086,48,67.0711
20.910468,48,67.721896
21.118332,48,68.677709
21.816277,48,69.325199
21.85419,48,70.273923
22.056295,48,70.900061
20.96067,48,71.860919
22.035777,48,72.480991
22.018369,48,73.418095
21.510219,48,74.550396
21.90458,48,75.490392
21.440851,48,76.144356
20.93166,48,77.096683
21.238945,48,77.734116
21.83637,48,78.691392
20.843888,48,79.338473
21.608396,48,80.292314
21.082833,48,80.919605
21.417354,48,81.549261
20.530313,48,82.524619
21.758441,48,83.149133
22.056613,48,84.112575
21.497568,48,84.795622
21.397301,48,85.767547
22.157984,48,86.401495
21.379047,48,87.363889
21.979533,48,87.996079
21.742184,48,89.263733
21.758362,48,89.910046
21.371453,48,90.848946
21.965499,48,91.515529
21.9757,48,92.455453
21.345797,48,93.107733
21.543869,48,94.063423
20.241346,48,94.716396
21.202116,48,95.698963
22.096322,48,96.32681
21.122159,48,97.259623
21.010257,48,97.90756
22.000613,48,98.830374
21.684095,48,99.469201
21.921684,48,100.455415
22.109553,48,101.108056
22.130358,48,101.73479
21.257797,48,102.695372
21.644432,48,103.350295
22.156687,48,104.614829
21.327591,48,105.256901
21.959782,48,106.242429
21.051775,48,106.894118
21.822939,48,107.835879
21.354982,48,108.482704
21.789188,48,109.419072
22.168067,48,110.049422
22.070165,48,110.999814
22.012191,48,111.636734
22.134273,48,112.600194
21.700278,48,113.332099
21.499694,48,114.374286
21.976576,48,115.064824
21.881914,48,116.009783
21.071849,48,116.661935
22.194665,48,117.607595
21.940741,48,118.257485
22.049163,48,119.672894
22.079323,48,120.338435
22.075417,48,121.305289
22.047091,48,122.021941
21.999804,48,122.692623
22.041745,48,123.68751
21.298967,48,124.347468
21.17742,48,125.316212
20.989366,48,125.978262
21.994197,48,126.950301
21.198492,48,127.585989
21.609836,48,128.545088
22.002797,48,129.179344
21.770446,48,130.142737
22.187682,48,130.791917
21.779867,48,131.741965
22.002965,48,132.387597
22.231453,48,133.338764
21.82251,48,134.415592
22.05575,48,135.353536
22.299742,48,135.968611
22.116774,48,136.92026
22.034511,48,137.611388
22.17226,48,138.552389
22.267863,48,139.204426
22.09675,48,140.133274
22.012166,48,140.787132
21.305831,48,141.75575
21.797056,48,142.3943
22.115858,48,143.031032
22.016713,48,143.967414
22.066359,48,144.597864
21.101603,48,145.552335
20.483397,48,146.178173
20.292271,48,147.134596
20.678398,48,147.760393
21.964561,48,149.133993
22.155697,48,149.789599
21.733164,48,150.753552
22.145274,48,151.393948
22.24435,48,152.378688
22.203425,48,153.006154
22.335648,48,153.97253
22.223228,48,154.620688
21.783432,48,155.563996
21.599914,48,156.213811
22.228582,48,157.161892
21.735463,48,157.807019
22.004736,48,158.78773
21.344054,48,159.433227
22.401547,48,160.399073
22.056603,48,161.0387
21.844163,48,161.987915
22.3383,48,162.640695
22.211246,48,163.285526
22.246488,48,164.585914
22.092233,48,165.229986
22.300981,48,166.210858
22.152409,48,166.853922
22.065355,48,167.801207
21.62764,48,168.443111
22.25128,48,169.420016
21.669788,48,170.123102
21.684522,48,171.120159
22.156689,48,171.755632
22.232881,48,172.708482
21.861348,48,173.378939
21.897962,48,174.311697
22.142718,48,174.962407
22.191045,48,175.912183
21.930931,48,176.559981
22.061186,48,177.518468
21.283781,48,178.167531
21.946791,48,179.565263
22.095671,48,180.202699
21.544162,48,181.168514
22.180395,48,181.816956
21.059088,48,182.763401
22.161454,48,183.415151
22.341643,48,184.059501
22.092364,48,185.04648
22.238616,48,185.692336
21.903883,48,186.65081
21.220922,48,187.289844
21.791306,48,188.243394
21.9361,48,188.881385
22.233246,48,189.840766
21.277036,48,190.49189
22.042133,48,191.452636
21.57111,48,192.105903
21.937524,48,193.058773
22.153805,48,194.163928
21.529394,48,195.13652
22.243559,48,195.768386
22.029673,48,196.729034
22.148028,48,197.386873
22.15001,48,198.34048
21.884069,48,198.985927
22.061695,48,199.942577
21.859318,48,200.588863
22.086678,48,201.510093
21.934007,48,202.15856
21.299005,48,203.125323
21.934032,48,203.791046
22.076107,48,204.443223
21.653033,48,205.436348
21.074799,48,206.137702
22.052972,48,207.171806
21.775875,48,207.827348
21.755693,48,209.252814
22.010478,48,209.932706
21.14799,48,210.955139
21.357649,48,211.634098
21.629571,48,212.625622
21.885975,48,213.300014
