#{"t_start": 1744202674.1103342, "env_id": "ATM"}
r,l,t
9.253845,48,0.796332
19.921222,48,1.888517
21.801781,48,2.797679
19.228853,48,3.4306
21.096177,48,4.37634
20.077774,48,5.016146
20.358439,48,5.983381
21.460751,48,6.618382
20.018118,48,7.569872
21.241548,48,8.214257
21.548531,48,9.159488
21.380296,48,9.835731
21.455843,48,10.789042
21.437982,48,11.464952
21.495645,48,12.436012
21.719146,48,13.089738
21.875788,48,14.031661
20.990517,48,14.676324
21.325289,48,15.640703
21.857435,48,16.761392
20.768231,48,17.762795
21.870523,48,18.410405
20.518153,48,19.388847
21.858333,48,20.057578
20.656158,48,20.749557
21.913411,48,21.716835
21.777872,48,22.370514
19.495225,48,23.348895
21.472715,48,23.994566
21.570914,48,24.931461
19.898982,48,25.587199
21.043968,48,26.55549
21.815288,48,27.201205
21.625021,48,28.148236
21.171181,48,28.820867
21.992979,48,29.742605
21.248348,48,30.383749
21.053432,48,31.624097
22.121294,48,32.275043
21.580459,48,33.211249
21.937153,48,33.871045
21.90571,48,34.855017
21.159095,48,35.51777
21.783437,48,36.472329
20.826317,48,37.118922
21.645187,48,38.102428
21.506569,48,38.764738
21.721883,48,39.715162
20.764317,48,40.37513
21.609139,48,41.015001
21.054215,48,42.051296
22.041197,48,42.705774
21.466783,48,43.65779
21.547312,48,44.311045
21.112419,48,45.281511
21.452227,48,46.324816
21.408895,48,47.308711
21.683434,48,47.951284
21.32039,48,48.912595
21.87131,48,49.585809
21.912743,48,50.559427
22.03425,48,51.210393
22.055458,48,52.23591
21.773345,48,52.897279
21.69328,48,53.852336
21.296088,48,54.510263
20.957045,48,55.483468
21.779917,48,56.146167
21.790046,48,57.065516
21.9133,48,57.760711
21.979393,48,58.727342
21.943751,48,59.383729
21.863242,48,60.323967
22.050815,48,61.381723
22.005448,48,62.0311
21.675947,48,63.044882
21.857834,48,63.685639
21.944669,48,64.612344
20.955345,48,65.269637
22.216901,48,66.214522
21.248818,48,66.860522
22.02024,48,67.806825
22.041609,48,68.454106
21.935684,48,69.454936
21.915641,48,70.113062
21.745856,48,71.067374
21.875126,48,71.739705
21.808924,48,72.697608
22.012605,48,73.359683
21.330415,48,74.318742
22.09558,48,74.972276
21.746718,48,76.309847
22.081082,48,76.957406
21.970318,48,77.910331
21.341952,48,78.560282
21.785434,48,79.514467
20.794747,48,80.182566
21.208972,48,81.150911
21.939357,48,81.794913
21.618937,48,82.431506
21.742454,48,83.403066
21.918706,48,84.091089
20.820753,48,85.093031
21.98002,48,85.749859
21.758751,48,86.715547
21.975113,48,87.361172
21.086735,48,88.31106
21.997386,48,88.961353
20.984797,48,89.924477
21.743651,48,90.573885
21.465987,48,91.877484
21.422771,48,92.531644
22.249701,48,93.492078
21.904236,48,94.150012
