train/ent_coef,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,time/episodes,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,eval/ep_b3_mean,eval/ep_nodes_below_zero,eval/ep_b1_mean,eval/ep_b3_std,eval/ep_timesteps_below_zero,eval/ep_b1_std,eval/ep_b2_mean,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_nodes_below_threshold,eval/ep_pump_price_obj_mean,eval/ep_pressure_obj_std
0.009999999776482582,0.0444822758436203,0,48.0,678,35,-0.43488380312919617,4,384,0.003,14.75172475,,,,,,,,,,,,,,
,,0,48.0,670,,,8,384,,14.75172475,,,,,,,,,,,,,,
0.009999999776482582,0.042367637157440186,1,48.0,655,83,-0.5815296173095703,12,768,0.003,13.70190975,,,,,,,,,,,,,,
,,1,48.0,651,,,16,768,,13.70190975,,,,,,,,,,,,,,
0.009999999776482582,0.02440701425075531,2,48.0,563,131,-0.7791683673858643,20,1152,0.003,16.168618833333337,0.8727501865205367,0.0,0.6456265336051966,0.08228756583014468,0,0.3041967676417812,0.8207875658652412,0.0,0.165149844978891,0.9945175438596491,0.26782698647199543,0.0,0.4744595545881442,0.03798357034142275
,,2,48.0,557,,,24,1152,,16.168618833333337,,,,,,,,,,,,,,
0.009999999776482582,0.02344578504562378,2,48.0,572,179,-0.8372002243995667,28,1536,0.003,17.014870375,,,,,,,,,,,,,,
,,2,48.0,571,,,32,1536,,17.014870375,,,,,,,,,,,,,,
0.009999999776482582,0.02446601539850235,3,48.0,532,227,-0.9472993612289429,36,1920,0.003,17.867562874999997,0.7912865600676819,0.0,0.9173075887276889,0.183728751924729,0,0.044011702671149976,0.2937218776152249,0.0,0.18332734325897757,0.9934210526315789,0.15783113672785243,0.0,0.5447012005323516,0.03857697426393938
,,3,48.0,530,,,40,1920,,17.867562874999997,,,,,,,,,,,,,,
0.009999999776482582,0.01890244334936142,4,48.0,545,275,-1.0349496603012085,44,2304,0.003,18.449815666666666,,,,,,,,,,,,,,
,,4,48.0,544,,,48,2304,,18.449815666666666,,,,,,,,,,,,,,
0.009999999776482582,0.015182002447545528,5,48.0,524,323,-1.1245129108428955,52,2688,0.003,18.90202319642857,0.8516457303099136,0.0,0.8503280503064473,0.08780437550562394,0,0.07833835210771123,0.8266163430033089,0.0,0.11727882174601519,1.0,0.1592946374344343,0.0,0.6203635987117305,0.0
,,5,48.0,522,,,56,2688,,18.90202319642857,,,,,,,,,,,,,,
0.009999999776482582,0.019767526537179947,5,48.0,535,371,-1.2049106359481812,60,3072,0.003,19.247202203125003,,,,,,,,,,,,,,
,,5,48.0,534,,,64,3072,,19.247202203125003,,,,,,,,,,,,,,
0.009999999776482582,0.018562834709882736,6,48.0,517,419,-1.2977677583694458,68,3456,0.003,19.439557152777777,0.8206816550073226,0.0,0.7661252595595638,0.12334251756316247,0,0.13368703673928817,0.8095799664443044,0.0,0.17112709216380972,0.9846491228070176,0.1316888719680878,0.0,0.609146916803013,0.06040894538803211
,,6,48.0,515,,,72,3456,,19.439557152777777,,,,,,,,,,,,,,
0.009999999776482582,0.01177605614066124,7,48.0,525,467,-1.4164259433746338,76,3840,0.003,19.568830062500002,,,,,,,,,,,,,,
,,7,48.0,524,,,80,3840,,19.568830062500002,,,,,,,,,,,,,,
0.009999999776482582,0.03246340900659561,8,48.0,512,515,-1.45095694065094,84,4224,0.003,19.711474534090907,0.7561771094452012,0.0,0.832132269133909,0.18360057134993524,0,0.11274257099129299,0.8255503011590771,0.0,0.14666454293955883,1.0,0.13597941084538234,0.0,0.6029747328830743,0.0
,,8,48.0,511,,,88,4224,,19.711474534090907,,,,,,,,,,,,,,
0.009999999776482582,0.021108034998178482,8,48.0,520,563,-1.5282851457595825,92,4608,0.003,19.839896666666665,,,,,,,,,,,,,,
,,8,48.0,519,,,96,4608,,19.839896666666665,,,,,,,,,,,,,,
0.009999999776482582,0.012560078874230385,9,48.0,509,611,-1.6386868953704834,100,4992,0.003,20.13088847,0.6987375553426345,0.0,0.8560257702112885,0.2719278361194918,0,0.09763853131360639,0.7735114886433901,0.0,0.17840444439057856,0.9945175438596491,0.19050986001263837,0.0,0.5884609983249651,0.03798357034142275
,,9,48.0,508,,,104,4992,,20.13088847,,,,,,,,,,,,,,
0.009999999776482582,0.01622702181339264,10,48.0,515,659,-1.6960879564285278,108,5376,0.003,20.72510549,,,,,,,,,,,,,,
,,10,48.0,514,,,112,5376,,20.72510549,,,,,,,,,,,,,,
0.009999999776482582,0.018595268949866295,11,48.0,507,707,-1.764439344406128,116,5760,0.003,21.12408434,0.7856157431450076,0.0,0.837106324180847,0.19429455324280875,0,0.08327697172206812,0.857606549468738,0.0,0.09030340303723182,1.0,0.1532272083427231,0.0,0.5849283850650074,0.0
,,11,48.0,506,,,120,5760,,21.12408434,,,,,,,,,,,,,,
0.009999999776482582,0.015700869262218475,11,48.0,512,755,-1.8304264545440674,124,6144,0.003,21.17756272,,,,,,,,,,,,,,
,,11,48.0,512,,,128,6144,,21.17756272,,,,,,,,,,,,,,
0.009999999776482582,0.0248904749751091,12,48.0,506,803,-1.9775232076644897,132,6528,0.003,21.22511519,0.7130766812288898,0.0,0.788900462549142,0.2613777736394162,0,0.14190508590403894,0.8434900092216578,0.0,0.12231639356602764,0.9890350877192983,0.1995940837376903,0.0,0.5614642279626679,0.053142351716699704
,,12,48.0,505,,,136,6528,,21.22511519,,,,,,,,,,,,,,
0.009999999776482582,0.011841671541333199,13,48.0,511,851,-1.9711368083953857,140,6912,0.003,21.22761261,,,,,,,,,,,,,,
,,13,48.0,511,,,144,6912,,21.22761261,,,,,,,,,,,,,,
0.009999999776482582,0.0162370502948761,14,48.0,493,899,-2.073613166809082,148,7296,0.003,21.21631771,0.8172192832298075,0.0,0.7529900520086975,0.14962950723593987,0,0.18790657745335826,0.8523871410247422,0.0,0.10290923622474465,0.9890350877192983,0.171441068974631,0.0,0.5964486705193962,0.053142351716699704
,,14,48.0,492,,,152,7296,,21.21631771,,,,,,,,,,,,,,
0.009999999776482582,0.008464690297842026,15,48.0,497,947,-2.2300214767456055,156,7680,0.003,21.195866659999997,,,,,,,,,,,,,,
,,15,48.0,497,,,160,7680,,21.195866659999997,,,,,,,,,,,,,,
0.009999999776482582,0.010462138801813126,16,48.0,491,995,-2.3082423210144043,164,8064,0.003,21.185763889999997,0.7935340383484306,0.0,0.8417411910899518,0.15656043414997492,0,0.13461643957862243,0.7787917449147524,0.0,0.14000778410838394,1.0,0.16091729506756883,0.0,0.6019742063178344,0.0
,,16,48.0,491,,,168,8064,,21.185763889999997,,,,,,,,,,,,,,
0.009999999776482582,0.012366997078061104,17,48.0,496,1043,-2.3669490814208984,172,8448,0.003,21.263402009999997,,,,,,,,,,,,,,
,,17,48.0,495,,,176,8448,,21.263402009999997,,,,,,,,,,,,,,
0.009999999776482582,0.01027014572173357,17,48.0,491,1091,-2.4827423095703125,180,8832,0.003,21.260391330000008,0.8479112292692019,0.0,0.7987257913322552,0.12195456278740845,0,0.1672823918488271,0.7559681125430836,0.0,0.16657712193809507,0.9945175438596491,0.15903212982025883,0.0,0.600136195919047,0.03798357034142275
,,17,48.0,491,,,184,8832,,21.260391330000008,,,,,,,,,,,,,,
0.009999999776482582,0.006687721237540245,18,48.0,495,1139,-2.5344438552856445,188,9216,0.003,21.252469,,,,,,,,,,,,,,
,,18,48.0,495,,,192,9216,,21.252469,,,,,,,,,,,,,,
0.009999999776482582,0.013519810512661934,19,48.0,492,1187,-2.6095669269561768,196,9600,0.003,21.277738240000005,0.83035703614229,0.0,0.7830222530896037,0.14132186313691975,0,0.1727176671491503,0.8009898648567753,0.0,0.12690556642516646,1.0,0.16556582345335574,0.0,0.5989171042883122,0.0
,,19,48.0,492,,,200,9600,,21.277738240000005,,,,,,,,,,,,,,
0.009999999776482582,0.008257677778601646,20,48.0,495,1235,-2.7357208728790283,204,9984,0.003,21.311937389999997,,,,,,,,,,,,,,
,,20,48.0,495,,,208,9984,,21.311937389999997,,,,,,,,,,,,,,
0.009999999776482582,0.00970817543566227,20,48.0,499,1283,-2.8297061920166016,212,10368,0.003,21.334604560000006,,,,,,,,,,,,,,
,,20,48.0,499,,,216,10368,,21.334604560000006,,,,,,,,,,,,,,
0.009999999776482582,0.011459271423518658,21,48.0,496,1331,-2.832266330718994,220,10752,0.003,21.337542039999995,0.8414359679896871,0.0,0.7809489620846832,0.1182304911169636,0,0.14666212882571386,0.8161741675760472,0.0,0.12688040531293535,0.9879385964912281,0.16239124123109624,0.0,0.6081093521996362,0.0534533641252242
,,21,48.0,495,,,224,10752,,21.337542039999995,,,,,,,,,,,,,,
0.009999999776482582,0.00927112065255642,22,48.0,499,1379,-2.88069748878479,228,11136,0.003,21.378778250000003,,,,,,,,,,,,,,
,,22,48.0,499,,,232,11136,,21.378778250000003,,,,,,,,,,,,,,
0.009999999776482582,0.009742029011249542,23,48.0,495,1427,-3.024376392364502,236,11520,0.003,21.389180839999998,0.7885732058012622,0.0,0.8401929282067461,0.15302486150989966,0,0.11971773646414842,0.8020052451857906,0.0,0.14316490033179582,0.9989035087719298,0.1700649229081786,0.0,0.6087946123541063,0.007596714068284557
,,23,48.0,495,,,240,11520,,21.389180839999998,,,,,,,,,,,,,,
0.009999999776482582,0.011232276447117329,23,48.0,498,1475,-3.126018762588501,244,11904,0.003,21.358099780000003,,,,,,,,,,,,,,
,,23,48.0,498,,,248,11904,,21.358099780000003,,,,,,,,,,,,,,
0.009999999776482582,0.01252127904444933,24,48.0,495,1523,-3.140310525894165,252,12288,0.003,21.375086059999997,0.7943144650744799,0.0,0.8353966841547544,0.13405843762486286,0,0.11707015478506448,0.8166934164800613,0.0,0.13426083095323124,1.0,0.16098483810672354,0.0,0.5961144192499631,0.0
,,24,48.0,495,,,256,12288,,21.375086059999997,,,,,,,,,,,,,,
0.009999999776482582,0.010834351181983948,25,48.0,498,1571,-3.318814992904663,260,12672,0.003,21.367752519999996,,,,,,,,,,,,,,
,,25,48.0,498,,,264,12672,,21.367752519999996,,,,,,,,,,,,,,
0.009999999776482582,0.01191936619579792,26,48.0,495,1619,-3.3570425510406494,268,13056,0.003,21.37626991,0.8334780971267652,0.0,0.7679026171524385,0.11201798645527726,0,0.14195126546022743,0.8481729053102385,0.0,0.11734853936027553,0.9890350877192983,0.17479008101793947,0.0,0.5967048820964916,0.053142351716699704
,,26,48.0,495,,,272,13056,,21.37626991,,,,,,,,,,,,,,
0.009999999776482582,0.018179789185523987,26,48.0,498,1667,-3.4077579975128174,276,13440,0.003,21.374800750000006,,,,,,,,,,,,,,
,,26,48.0,498,,,280,13440,,21.374800750000006,,,,,,,,,,,,,,
0.009999999776482582,0.010747076943516731,27,48.0,495,1715,-3.520833730697632,284,13824,0.003,21.4025883,0.7417774945758694,0.0,0.8273760471680414,0.17848576762626087,0,0.13042903178243911,0.8285531570098029,0.0,0.14363813074112167,1.0,0.1826411296581574,0.0,0.5921318373921725,0.0
,,27,48.0,495,,,288,13824,,21.4025883,,,,,,,,,,,,,,
0.009999999776482582,0.008800461888313293,28,48.0,498,1763,-3.4932830333709717,292,14208,0.003,21.40910395,,,,,,,,,,,,,,
,,28,48.0,498,,,296,14208,,21.40910395,,,,,,,,,,,,,,
0.009999999776482582,0.012300485745072365,29,48.0,487,1811,-3.557129383087158,300,14592,0.003,21.35861437,0.7558858854083033,0.0,0.6925827856838174,0.19775025544315347,0,0.23874797596078223,0.8642589569689467,0.0,0.11694606110706471,0.9703947368421052,0.17430245388899585,0.0,0.5776280633383652,0.0819016123685223
,,29,48.0,487,,,304,14592,,21.35861437,,,,,,,,,,,,,,
0.009999999776482582,0.009801730513572693,30,48.0,489,1859,-3.78817081451416,308,14976,0.003,21.33154696,,,,,,,,,,,,,,
,,30,48.0,489,,,312,14976,,21.33154696,,,,,,,,,,,,,,
0.009999999776482582,0.009792201220989227,31,48.0,487,1907,-3.688638687133789,316,15360,0.003,21.33208216,0.7838526669466632,0.0,0.8679335605996683,0.15802449261952803,0,0.09521260640057676,0.8109146293926404,0.0,0.12123489813393407,0.9934210526315789,0.19886368731998696,0.0,0.6156913431858624,0.03857697426393938
,,31,48.0,487,,,320,15360,,21.33208216,,,,,,,,,,,,,,
0.009999999776482582,0.010156726464629173,32,48.0,490,1955,-3.900484561920166,324,15744,0.003,21.356460990000002,,,,,,,,,,,,,,
,,32,48.0,489,,,328,15744,,21.356460990000002,,,,,,,,,,,,,,
0.009999999776482582,0.008342955261468887,33,48.0,487,2003,-3.889176368713379,332,16128,0.003,21.31950357,0.7887607834430024,0.0,0.8707336505720281,0.16529691178398045,0,0.09087586670680163,0.7377685598562366,0.0,0.20151705675126041,0.9956140350877193,0.17513103757237386,0.0,0.5924259997290188,0.030386856273138196
,,33,48.0,486,,,336,16128,,21.31950357,,,,,,,,,,,,,,
0.009999999776482582,0.007879477925598621,33,48.0,489,2051,-3.943755626678467,340,16512,0.003,21.31239505,,,,,,,,,,,,,,
,,33,48.0,489,,,344,16512,,21.31239505,,,,,,,,,,,,,,
0.009999999776482582,0.011127159930765629,34,48.0,487,2099,-4.043757915496826,348,16896,0.003,21.37069237999999,0.8144164325892576,0.0,0.8081932440967663,0.14473294111815685,0,0.14266656231784616,0.793276935632294,0.0,0.1730442386579123,0.9901315789473685,0.17430339356125105,0.0,0.5939649358359275,0.04813520230995612
,,34,48.0,486,,,352,16896,,21.37069237999999,,,,,,,,,,,,,,
0.009999999776482582,0.008837533183395863,35,48.0,489,2147,-4.122799396514893,356,17280,0.003,21.35600213,,,,,,,,,,,,,,
,,35,48.0,489,,,360,17280,,21.35600213,,,,,,,,,,,,,,
0.009999999776482582,0.006188186816871166,36,48.0,487,2195,-4.160080909729004,364,17664,0.003,21.355661029999997,0.7861546719213788,0.0,0.8468814044237823,0.1428205542953287,0,0.13231210420055628,0.7934578558001391,0.0,0.1498745237082776,0.9978070175438596,0.1868539334638528,0.0,0.6081862002778899,0.015193428136569096
,,36,48.0,487,,,368,17664,,21.355661029999997,,,,,,,,,,,,,,
0.009999999776482582,0.010599249042570591,36,48.0,489,2243,-4.148794174194336,372,18048,0.003,21.31286517,,,,,,,,,,,,,,
,,36,48.0,489,,,376,18048,,21.31286517,,,,,,,,,,,,,,
0.009999999776482582,0.015057878568768501,37,48.0,487,2291,-4.238341808319092,380,18432,0.003,21.3277071,0.7584122471316387,0.0,0.8360817896731733,0.1444312145474974,0,0.12394123627801584,0.8338288237235175,0.0,0.11323711829631165,0.9956140350877193,0.18485632021630263,0.0,0.6139300494375103,0.030386856273138196
,,37,48.0,487,,,384,18432,,21.3277071,,,,,,,,,,,,,,
0.009999999776482582,0.007978569716215134,38,48.0,489,2339,-4.57633638381958,388,18816,0.003,21.315048880000003,,,,,,,,,,,,,,
,,38,48.0,489,,,392,18816,,21.315048880000003,,,,,,,,,,,,,,
0.009999999776482582,0.019465476274490356,39,48.0,487,2387,-4.509629726409912,396,19200,0.003,21.31635882,0.7151321334151239,0.0,0.8314030646933056,0.2162682145267491,0,0.12332229154397055,0.8235116805946747,0.0,0.13765125583152596,0.9890350877192983,0.17491515480202777,0.0,0.6021913016384601,0.053142351716699704
,,39,48.0,487,,,400,19200,,21.31635882,,,,,,,,,,,,,,
0.009999999776482582,0.013477172702550888,39,48.0,489,2435,-4.5523481369018555,404,19584,0.003,21.353885829999996,,,,,,,,,,,,,,
,,39,48.0,489,,,408,19584,,21.353885829999996,,,,,,,,,,,,,,
0.009999999776482582,0.006227212026715279,40,48.0,491,2483,-4.443777084350586,412,19968,0.003,21.363473309999996,,,,,,,,,,,,,,
,,40,48.0,491,,,416,19968,,21.363473309999996,,,,,,,,,,,,,,
0.009999999776482582,0.007833177223801613,41,48.0,489,2531,-4.555110454559326,420,20352,0.003,21.364578150000003,0.8013680039272884,0.0,0.7804303767385002,0.14544062830734028,0,0.14819623634695245,0.8290316862100648,0.0,0.12315670689162707,0.9945175438596491,0.18962412045282903,0.0,0.6153938522338233,0.03798357034142275
,,41,48.0,489,,,424,20352,,21.364578150000003,,,,,,,,,,,,,,
0.009999999776482582,0.008892570622265339,42,48.0,491,2579,-4.6487345695495605,428,20736,0.003,21.380140329999996,,,,,,,,,,,,,,
,,42,48.0,491,,,432,20736,,21.380140329999996,,,,,,,,,,,,,,
0.009999999776482582,0.009118139743804932,43,48.0,489,2627,-4.510134696960449,436,21120,0.003,21.407586390000002,0.8190428703068121,0.0,0.7591697162166621,0.1427224543272604,0,0.14133948444009115,0.8394647786193156,0.0,0.12283254448611591,1.0,0.1806892311120662,0.0,0.6069004347476236,0.0
,,43,48.0,489,,,440,21120,,21.407586390000002,,,,,,,,,,,,,,
0.009999999776482582,0.008596902713179588,43,48.0,491,2675,-4.7952351570129395,444,21504,0.003,21.36841942,,,,,,,,,,,,,,
,,43,48.0,491,,,448,21504,,21.36841942,,,,,,,,,,,,,,
0.009999999776482582,0.0092491265386343,45,48.0,485,2723,-5.027796745300293,452,21888,0.003,21.36766293,0.7660937154432599,0.0,0.8380005045468181,0.16610003728582118,0,0.12031600364373217,0.8165119653443091,0.0,0.1301256635694796,0.9945175438596491,0.174113975166561,0.0,0.6059993454756478,0.03798357034142275
,,45,48.0,485,,,456,21888,,21.36766293,,,,,,,,,,,,,,
0.009999999776482582,0.00793764740228653,45,48.0,487,2771,-4.974377632141113,460,22272,0.003,21.38071151,,,,,,,,,,,,,,
,,45,48.0,487,,,464,22272,,21.38071151,,,,,,,,,,,,,,
0.009999999776482582,0.016051938757300377,46,48.0,485,2819,-5.05075740814209,468,22656,0.003,21.41162078,0.8101575682010836,0.0,0.8025805769789662,0.13644247467207904,0,0.1199519803608604,0.8505338902973806,0.0,0.10811137347592571,0.9956140350877193,0.1655826396580089,0.0,0.6075240815354485,0.030386856273138196
,,46,48.0,485,,,472,22656,,21.41162078,,,,,,,,,,,,,,
0.009999999776482582,0.008134778589010239,47,48.0,487,2867,-5.09296989440918,476,23040,0.003,21.433913580000002,,,,,,,,,,,,,,
,,47,48.0,487,,,480,23040,,21.433913580000002,,,,,,,,,,,,,,
0.009999999776482582,0.00730575155466795,48,48.0,485,2915,-5.213325500488281,484,23424,0.003,21.483173689999997,0.7975032922825902,0.0,0.8462107220129778,0.1384265850703178,0,0.12173712638359814,0.8218682990379886,0.0,0.1161705821609393,1.0,0.17616759231771909,0.0,0.6068719895946519,0.0
,,48,48.0,485,,,488,23424,,21.483173689999997,,,,,,,,,,,,,,
0.009999999776482582,0.01835384964942932,48,48.0,487,2963,-5.233166694641113,492,23808,0.003,21.462341780000003,,,,,,,,,,,,,,
,,48,48.0,487,,,496,23808,,21.462341780000003,,,,,,,,,,,,,,
0.009999999776482582,0.005746094044297934,49,48.0,485,3011,-5.241817474365234,500,24192,0.003,21.46179402,0.765728248955609,0.0,0.842648229029296,0.16714342629600148,0,0.09540118526950864,0.8172969378368387,0.0,0.13232492291159867,0.9890350877192983,0.1874483183713857,0.0,0.6256354870841708,0.0531423517166997
,,49,48.0,485,,,504,24192,,21.46179402,,,,,,,,,,,,,,
0.009999999776482582,0.009934412315487862,50,48.0,487,3059,-5.366215705871582,508,24576,0.003,21.48892515,,,,,,,,,,,,,,
,,50,48.0,487,,,512,24576,,21.48892515,,,,,,,,,,,,,,
0.009999999776482582,0.009861812926828861,51,48.0,485,3107,-5.547645568847656,516,24960,0.003,21.50067441,0.7744610525776796,0.0,0.8425536887641543,0.1562987430902567,0,0.11041976905009608,0.8390493768199774,0.0,0.10545247008366103,1.0,0.1745932822668618,0.0,0.6112201437525976,0.0
,,51,48.0,485,,,520,24960,,21.50067441,,,,,,,,,,,,,,
0.009999999776482582,0.012277787551283836,52,48.0,487,3155,-5.513151168823242,524,25344,0.003,21.490975179999996,,,,,,,,,,,,,,
,,52,48.0,487,,,528,25344,,21.490975179999996,,,,,,,,,,,,,,
0.009999999776482582,0.006890580989420414,52,48.0,485,3203,-5.542782306671143,532,25728,0.003,21.49236337,0.7850003148481204,0.0,0.7908886502855366,0.15925486264314356,0,0.15601599027966473,0.7662989027027373,0.0,0.19255898881110128,0.9956140350877193,0.1729033426516805,0.0,0.6157849858038881,0.030386856273138196
,,52,48.0,485,,,536,25728,,21.49236337,,,,,,,,,,,,,,
0.009999999776482582,0.008791990578174591,53,48.0,487,3251,-5.629627704620361,540,26112,0.003,21.45279841,,,,,,,,,,,,,,
,,53,48.0,487,,,544,26112,,21.45279841,,,,,,,,,,,,,,
0.009999999776482582,0.006267952267080545,54,48.0,486,3299,-5.351967811584473,548,26496,0.003,21.496540349999997,0.7344285903797725,0.0,0.8223747965896087,0.15461117652361278,0,0.11542697384815052,0.8517774134863804,0.0,0.11666053127231063,0.9890350877192983,0.19414007258235236,0.0,0.625859492683554,0.053142351716699704
,,54,48.0,485,,,552,26496,,21.496540349999997,,,,,,,,,,,,,,
0.009999999776482582,0.010153621435165405,55,48.0,487,3347,-5.752856731414795,556,26880,0.003,21.476212929999996,,,,,,,,,,,,,,
,,55,48.0,487,,,560,26880,,21.476212929999996,,,,,,,,,,,,,,
0.009999999776482582,0.011024096980690956,56,48.0,486,3395,-5.774599552154541,564,27264,0.003,21.464520120000003,0.7463530706769,0.0,0.8596093547242716,0.1386579865396381,0,0.090531155024961,0.8362644337259184,0.0,0.11768853034783003,0.9945175438596491,0.17184325433732944,0.0,0.620542578730339,0.03798357034142275
,,56,48.0,486,,,568,27264,,21.464520120000003,,,,,,,,,,,,,,
0.009999999776482582,0.005966139957308769,56,48.0,487,3443,-5.919949531555176,572,27648,0.003,21.47065551,,,,,,,,,,,,,,
,,56,48.0,487,,,576,27648,,21.47065551,,,,,,,,,,,,,,
0.009999999776482582,0.01322298962622881,57,48.0,486,3491,-5.802866458892822,580,28032,0.003,21.46960113,0.7271028389389068,0.0,0.8257403217671556,0.1770159547337918,0,0.11894930344820957,0.8134051924446815,0.0,0.14219103210107464,1.0,0.1464574544431046,0.0,0.6264857765674748,0.0
,,57,48.0,486,,,584,28032,,21.46960113,,,,,,,,,,,,,,
0.009999999776482582,0.01126951165497303,58,48.0,487,3539,-5.769281387329102,588,28416,0.003,21.45604395000001,,,,,,,,,,,,,,
,,58,48.0,487,,,592,28416,,21.45604395000001,,,,,,,,,,,,,,
0.009999999776482582,0.00894892681390047,59,48.0,486,3587,-6.026339054107666,596,28800,0.003,21.45631895,0.7425348226774362,0.0,0.8649746291146674,0.14334941885167127,0,0.08072586411862279,0.851607629047527,0.0,0.09439666735969025,0.9945175438596491,0.18047910010685214,0.0,0.6220078571013641,0.03798357034142275
,,59,48.0,485,,,600,28800,,21.45631895,,,,,,,,,,,,,,
0.009999999776482582,0.01825423166155815,60,48.0,484,3635,-6.047211647033691,604,29184,0.003,21.47096496,,,,,,,,,,,,,,
,,60,48.0,484,,,608,29184,,21.47096496,,,,,,,,,,,,,,
0.009999999776482582,0.007514109835028648,60,48.0,486,3683,-6.183784484863281,612,29568,0.003,21.422393690000003,,,,,,,,,,,,,,
,,60,48.0,485,,,616,29568,,21.422393690000003,,,,,,,,,,,,,,
0.009999999776482582,0.011496096849441528,61,48.0,484,3731,-6.091561317443848,620,29952,0.003,21.41921877,0.7103404661483561,0.0,0.8085336249357055,0.16456556650359613,0,0.15250240160830264,0.8278606811945943,0.0,0.1385801384903685,1.0,0.14138205850157443,0.0,0.6154215146963513,0.0
,,61,48.0,484,,,624,29952,,21.41921877,,,,,,,,,,,,,,
0.009999999776482582,0.009378581307828426,62,48.0,485,3779,-6.054683208465576,628,30336,0.003,21.41339012,,,,,,,,,,,,,,
,,62,48.0,485,,,632,30336,,21.41339012,,,,,,,,,,,,,,
0.009999999776482582,0.005487420596182346,63,48.0,484,3827,-6.166210651397705,636,30720,0.003,21.430090039999993,0.771364989659581,0.0,0.870369411453491,0.1407602211167844,0,0.07973790780197844,0.7790066220920104,0.0,0.15832304528024577,0.9945175438596491,0.1705579831991019,0.0,0.6251658502011629,0.03798357034142275
,,63,48.0,484,,,640,30720,,21.430090039999993,,,,,,,,,,,,,,
0.009999999776482582,0.008877766318619251,63,48.0,486,3875,-6.389711380004883,644,31104,0.003,21.459679419999997,,,,,,,,,,,,,,
,,63,48.0,486,,,648,31104,,21.459679419999997,,,,,,,,,,,,,,
0.009999999776482582,0.007831932045519352,64,48.0,485,3923,-6.367569446563721,652,31488,0.003,21.465238560000003,0.6792868774417362,0.0,0.8436569889852666,0.19962888083031827,0,0.13226321472605657,0.7595399756202084,0.0,0.23999503070492756,1.0,0.16297545374161496,0.0,0.6144555898879237,0.0
,,64,48.0,484,,,656,31488,,21.465238560000003,,,,,,,,,,,,,,
0.009999999776482582,0.015013979747891426,65,48.0,486,3971,-6.401081562042236,660,31872,0.003,21.485187160000006,,,,,,,,,,,,,,
,,65,48.0,486,,,664,31872,,21.485187160000006,,,,,,,,,,,,,,
0.009999999776482582,0.015884380787611008,66,48.0,485,4019,-6.245779991149902,668,32256,0.003,21.51101957,0.7169784085744149,0.0,0.8412657187564719,0.1457919103519498,0,0.11343482005016853,0.8192887055011836,0.0,0.18828466491421592,1.0,0.1499906211706622,0.0,0.6240763538762073,0.0
,,66,48.0,485,,,672,32256,,21.51101957,,,,,,,,,,,,,,
0.009999999776482582,0.01870139315724373,67,48.0,486,4067,-6.447144031524658,676,32640,0.003,21.5345883,,,,,,,,,,,,,,
